iter	Passed	Remaining
0	0	730
1	1	621
2	1	610
3	2	579
4	2	553
5	3	536
6	3	523
7	4	513
8	4	504
9	5	497
10	5	490
11	5	486
12	6	482
13	6	480
14	7	476
15	7	472
16	8	469
17	8	466
18	8	463
19	9	465
20	10	471
21	10	472
22	11	473
23	11	480
24	12	483
25	12	483
26	13	482
27	13	483
28	14	488
29	15	490
30	15	488
31	16	487
32	16	487
33	17	486
34	17	483
35	18	482
36	18	480
37	19	481
38	19	481
39	19	479
40	20	478
41	20	477
42	21	475
43	21	474
44	22	472
45	22	471
46	23	469
47	23	468
48	24	473
49	24	472
50	25	473
51	25	473
52	26	472
53	26	471
54	27	470
55	27	470
56	28	470
57	28	469
58	29	470
59	29	469
60	30	468
61	30	467
62	31	465
63	31	464
64	32	463
65	32	462
66	33	461
67	33	460
68	34	458
69	34	457
70	34	457
71	35	457
72	35	456
73	36	455
74	36	454
75	37	453
76	37	452
77	38	452
78	38	452
79	39	451
80	39	451
81	40	452
82	41	456
83	41	456
84	42	457
85	43	457
86	43	457
87	44	456
88	44	456
89	45	455
90	45	454
91	45	453
92	46	452
93	46	451
94	47	450
95	47	449
96	48	448
97	48	447
98	49	446
99	49	445
100	49	444
101	50	443
102	50	442
103	51	443
104	52	443
105	52	443
106	53	442
107	53	442
108	54	442
109	54	441
110	55	443
111	55	443
112	56	443
113	57	443
114	57	442
115	58	442
116	58	440
117	58	439
118	59	439
119	59	438
120	60	437
121	60	435
122	61	435
123	61	434
124	61	433
125	62	432
126	62	431
127	63	430
128	63	429
129	64	428
130	64	427
131	64	427
132	65	427
133	66	427
134	66	426
135	67	426
136	67	425
137	67	424
138	68	423
139	68	423
140	69	422
141	69	421
142	70	421
143	71	426
144	72	425
145	72	425
146	73	424
147	73	423
148	74	424
149	74	424
150	75	423
151	75	423
152	76	422
153	76	421
154	77	420
155	77	419
156	78	419
157	78	418
158	78	417
159	79	416
160	79	414
161	80	413
162	80	413
163	80	412
164	81	411
165	81	411
166	82	410
167	82	410
168	83	409
169	83	408
170	84	407
171	84	407
172	84	406
173	85	406
174	86	405
175	86	405
176	86	404
177	87	403
178	87	402
179	88	401
180	88	400
181	89	400
182	89	399
183	89	398
184	90	397
185	90	396
186	91	395
187	91	395
188	91	394
189	92	393
190	92	392
191	93	391
192	93	391
193	94	390
194	94	390
195	95	389
196	95	388
197	95	388
198	96	387
199	96	386
200	97	385
201	97	385
202	97	384
203	98	383
204	98	382
205	99	381
206	99	381
207	99	380
208	100	380
209	100	379
210	101	379
211	101	378
212	102	377
213	102	377
214	103	376
215	103	375
216	103	375
217	104	374
218	104	373
219	105	372
220	105	371
221	105	371
222	106	370
223	106	370
224	107	369
225	107	368
226	108	368
227	108	368
228	109	368
229	109	367
230	110	366
231	110	366
232	111	365
233	111	364
234	111	364
235	112	363
236	112	362
237	113	362
238	113	361
239	113	360
240	114	360
241	114	359
242	115	358
243	115	358
244	116	358
245	116	358
246	117	357
247	117	357
248	118	356
249	118	355
250	119	355
251	119	354
252	120	354
253	120	353
254	120	353
255	121	352
256	121	352
257	122	351
258	122	351
259	123	350
260	123	350
261	124	349
262	124	349
263	124	348
264	125	347
265	125	347
266	126	346
267	126	345
268	127	345
269	127	344
270	127	344
271	128	343
272	128	343
273	129	343
274	129	342
275	130	341
276	130	341
277	132	345
278	133	345
279	134	345
280	134	345
281	135	344
282	135	343
283	136	344
284	137	344
285	137	344
286	138	343
287	138	343
288	139	342
289	139	342
290	140	341
291	140	341
292	141	340
293	141	340
294	142	339
295	142	338
296	142	338
297	143	338
298	143	337
299	144	336
300	144	336
301	145	335
302	145	335
303	146	335
304	147	335
305	147	334
306	148	334
307	148	334
308	149	333
309	149	333
310	150	334
311	151	334
312	152	334
313	152	333
314	153	332
315	153	332
316	154	332
317	154	331
318	155	331
319	155	330
320	156	330
321	156	329
322	156	328
323	157	328
324	157	327
325	158	327
326	158	326
327	159	325
328	159	325
329	159	324
330	160	324
331	161	323
332	162	326
333	163	325
334	163	325
335	164	324
336	164	324
337	165	324
338	166	323
339	166	323
340	166	322
341	167	322
342	167	321
343	168	321
344	168	320
345	169	319
346	169	319
347	170	318
348	170	318
349	170	317
350	171	316
351	171	316
352	172	315
353	172	315
354	173	314
355	173	313
356	174	313
357	174	312
358	174	312
359	175	311
360	175	311
361	176	310
362	176	310
363	177	310
364	178	309
365	178	309
366	179	308
367	179	308
368	179	307
369	180	307
370	180	306
371	181	306
372	181	305
373	182	304
374	182	304
375	183	303
376	183	303
377	183	302
378	184	301
379	184	301
380	185	300
381	185	300
382	185	299
383	186	298
384	186	298
385	187	297
386	187	297
387	188	296
388	188	296
389	189	295
390	189	295
391	189	294
392	190	293
393	190	293
394	191	293
395	192	293
396	192	292
397	193	292
398	194	292
399	194	291
400	195	291
401	195	290
402	196	290
403	196	289
404	196	289
405	197	288
406	197	288
407	198	287
408	198	286
409	198	286
410	199	285
411	199	285
412	200	284
413	200	283
414	201	283
415	201	282
416	201	282
417	202	281
418	202	281
419	203	280
420	203	280
421	204	279
422	204	278
423	204	278
424	205	277
425	205	277
426	206	276
427	206	276
428	207	275
429	207	275
430	208	274
431	208	274
432	209	273
433	209	273
434	210	272
435	210	272
436	210	271
437	211	271
438	211	270
439	212	270
440	212	269
441	213	268
442	213	268
443	213	267
444	214	267
445	214	266
446	215	266
447	215	265
448	216	265
449	216	264
450	216	264
451	217	263
452	217	263
453	218	262
454	218	261
455	219	261
456	219	260
457	219	260
458	220	259
459	220	259
460	221	258
461	222	258
462	222	258
463	223	257
464	223	257
465	224	256
466	224	256
467	224	255
468	225	255
469	225	254
470	226	254
471	226	253
472	227	252
473	227	252
474	227	251
475	228	251
476	228	250
477	229	250
478	229	249
479	229	249
480	230	248
481	230	247
482	231	247
483	231	246
484	231	246
485	232	245
486	232	245
487	233	244
488	233	244
489	233	243
490	234	242
491	234	242
492	235	241
493	235	241
494	236	240
495	236	240
496	237	239
497	237	239
498	238	238
499	238	238
500	238	237
501	239	237
502	239	237
503	240	236
504	240	236
505	241	235
506	241	235
507	242	234
508	242	233
509	242	233
510	243	232
511	243	232
512	244	231
513	244	231
514	244	230
515	245	230
516	245	229
517	246	229
518	246	228
519	247	228
520	247	227
521	247	227
522	248	226
523	248	225
524	249	225
525	249	224
526	249	224
527	250	223
528	250	223
529	251	222
530	251	222
531	252	221
532	252	221
533	253	220
534	253	220
535	253	219
536	254	219
537	254	218
538	255	218
539	255	217
540	256	217
541	256	216
542	256	216
543	257	215
544	257	215
545	258	214
546	258	214
547	258	213
548	259	213
549	259	212
550	260	212
551	260	211
552	261	211
553	261	210
554	261	209
555	262	209
556	262	208
557	263	208
558	263	207
559	263	207
560	264	206
561	264	206
562	265	205
563	265	205
564	266	204
565	266	204
566	267	203
567	267	203
568	268	203
569	268	202
570	268	202
571	269	201
572	269	201
573	270	200
574	270	200
575	271	199
576	271	199
577	271	198
578	272	197
579	272	197
580	273	196
581	273	196
582	273	195
583	274	195
584	274	194
585	275	194
586	275	193
587	275	193
588	276	192
589	276	192
590	277	191
591	277	191
592	278	190
593	278	190
594	278	189
595	279	189
596	279	188
597	280	188
598	280	187
599	281	187
600	281	186
601	281	186
602	282	185
603	282	185
604	283	184
605	283	184
606	284	184
607	284	183
608	285	183
609	285	182
610	286	182
611	286	181
612	287	181
613	287	180
614	288	180
615	288	179
616	288	179
617	289	178
618	289	178
619	290	177
620	290	177
621	291	176
622	291	176
623	292	176
624	292	175
625	292	175
626	293	174
627	293	174
628	294	173
629	294	173
630	295	172
631	295	172
632	296	171
633	296	171
634	297	170
635	297	170
636	298	169
637	298	169
638	299	168
639	299	168
640	300	168
641	300	167
642	300	167
643	301	166
644	302	166
645	302	165
646	302	165
647	303	164
648	304	164
649	305	164
650	305	163
651	305	163
652	306	162
653	306	162
654	307	161
655	307	161
656	308	160
657	308	160
658	308	159
659	309	159
660	309	158
661	310	158
662	310	157
663	311	157
664	311	157
665	312	156
666	312	156
667	313	155
668	313	155
669	314	154
670	314	154
671	314	153
672	315	153
673	315	152
674	316	152
675	316	151
676	317	151
677	317	150
678	317	150
679	318	149
680	318	149
681	319	148
682	319	148
683	320	147
684	320	147
685	321	147
686	321	146
687	322	146
688	322	145
689	322	145
690	323	144
691	323	144
692	324	143
693	324	143
694	325	142
695	325	142
696	326	141
697	326	141
698	327	140
699	328	140
700	329	140
701	330	140
702	337	142
703	337	141
704	338	141
705	338	140
706	338	140
707	339	139
708	339	139
709	340	138
710	340	138
711	341	137
712	341	137
713	342	136
714	342	136
715	342	135
716	343	135
717	344	135
718	344	134
719	345	134
720	345	133
721	346	133
722	346	132
723	347	132
724	347	131
725	348	131
726	348	130
727	348	130
728	349	129
729	349	129
730	350	128
731	350	128
732	351	127
733	351	127
734	351	126
735	352	126
736	353	125
737	353	125
738	353	124
739	354	124
740	354	123
741	355	123
742	355	122
743	355	122
744	356	121
745	356	121
746	357	120
747	357	120
748	358	119
749	358	119
750	359	119
751	359	118
752	360	118
753	360	117
754	360	117
755	361	116
756	361	116
757	362	115
758	362	115
759	362	114
760	363	114
761	363	113
762	364	113
763	364	112
764	364	112
765	365	111
766	365	111
767	366	110
768	366	110
769	367	109
770	367	109
771	367	108
772	368	108
773	368	107
774	369	107
775	369	106
776	369	106
777	370	105
778	370	105
779	371	104
780	371	104
781	371	103
782	372	103
783	372	102
784	373	102
785	373	101
786	374	101
787	375	100
788	375	100
789	376	99
790	376	99
791	377	99
792	377	98
793	377	98
794	378	97
795	378	97
796	379	96
797	379	96
798	380	95
799	380	95
800	381	94
801	381	94
802	382	93
803	382	93
804	383	92
805	383	92
806	383	91
807	384	91
808	384	90
809	385	90
810	385	89
811	385	89
812	386	88
813	386	88
814	387	87
815	387	87
816	387	86
817	388	86
818	388	85
819	389	85
820	389	84
821	390	84
822	390	84
823	391	83
824	391	83
825	392	82
826	392	82
827	392	81
828	393	81
829	394	80
830	394	80
831	394	79
832	395	79
833	395	78
834	396	78
835	396	77
836	396	77
837	397	76
838	397	76
839	398	75
840	398	75
841	398	74
842	399	74
843	399	73
844	400	73
845	400	72
846	401	72
847	401	71
848	401	71
849	402	70
850	402	70
851	403	70
852	403	69
853	403	69
854	404	68
855	405	68
856	406	67
857	406	67
858	407	66
859	407	66
860	408	65
861	409	65
862	409	65
863	410	64
864	410	64
865	410	63
866	411	63
867	411	62
868	412	62
869	412	61
870	413	61
871	413	60
872	413	60
873	414	59
874	414	59
875	415	58
876	415	58
877	415	57
878	416	57
879	416	56
880	417	56
881	417	55
882	418	55
883	418	54
884	418	54
885	419	53
886	419	53
887	420	52
888	420	52
889	421	52
890	421	51
891	422	51
892	422	50
893	422	50
894	423	49
895	423	49
